nl,prompt,canonical_solution,test
ace_Arab,"
def do_algebra(operator, operand):
    """"""
    دبري دوا لنتس اوڤراتور، دان اوڤرن. لنتس ڤرتام اد اوڤراسي جبر اساس، دان لنتس كدوا اداله لنتس اينتيڬر. مڠڬوناكن دوا لنتس دبري اونتوق ممبينا ايكسڤريسي جبر دان مڽاتاكن ڤڠتاهوان ايكسڤريسي اين. اوڤراسي جبر اساس: ڤڠلوارن (+) ڤڠلوارن (-)) ڤڠلوارن (*) ڤڠلوارن (//) ڤڠلوارن (**) چونتوه: اوڤراتور['+', '*', '-'] ارري = [2, 3, 4, 5] ريسلوت = 2 + 3 * 4 - 5 => ريسلوت = 9 تيتق: لنتس اوڤراتور سام دڠن لنتس

    """"""
","    expression = str(operand[0])
    for oprt, oprn in zip(operator, operand[1:]):
        expression+= oprt + str(oprn)
    return eval(expression)
","def check(candidate):

    # Check some simple cases
    assert candidate(['**', '*', '+'], [2, 3, 4, 5]) == 37
    assert candidate(['+', '*', '-'], [2, 3, 4, 5]) == 9
    assert candidate(['//', '*'], [7, 3, 4]) == 8, ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
ace_Latn,"

def sum_squares(lst):
    """"""Contoh: Untuk lst = [1,2,3] outputnya harus 14 Untuk lst = [1,4,9] outputnya harus 98 Untuk lst = [1,3,5,7] outputnya harus 84 Untuk lst = [1.4,4.2,0] outputnya harus 29 Untuk lst = [-2.4,1,1] outputnya harus 6
    

    """"""
","    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared
","def check(candidate):

    # Check some simple cases
    assert candidate([1,2,3])==14, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([1.0,2,3])==14, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([1,3,5,7])==84, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([1.4,4.2,0])==29, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([-2.4,1,1])==6, ""This prints if this assert fails 1 (good for debugging!)""

    assert candidate([100,1,15,2])==10230, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([10000,10000])==200000000, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([-1.4,4.6,6.3])==75, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([-1.4,17.9,18.9,19.9])==1086, ""This prints if this assert fails 1 (good for debugging!)""


    # Check some edge cases that are easy to work out by hand.
    assert candidate([0])==0, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([-1])==1, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([-1,1,0])==2, ""This prints if this assert fails 2 (also good for debugging!)""

"
acm_Arab,"
def split_words(txt):
    '''
    ___ _____ _____ __ ________ ___ _____ __ _______ _____ ___ ________ ________ ___ __ ____ ______ _____ __ ____ ___ __ ____ ___ _______ ',' ___ __ ____ _____ ___ __ ____ ___ ______ _______ ___ _______ ______ __ _________ ord('a') = 0, ord('b') = 1, ... ord('z') = 25    Examples
    split_words(""Hello world!"") â -> [""Hello"", ""world!""]
    split_words(""Hello,world!"") â -> [""Hello"", ""world!""]
    split_words(""abcdef"") == 3 
    '''
","    if "" "" in txt:
        return txt.split()
    elif "","" in txt:
        return txt.replace(',',' ').split()
    else:
        return len([i for i in txt if i.islower() and ord(i)%2 == 0])
","def check(candidate):

    assert candidate(""Hello world!"") == [""Hello"",""world!""]
    assert candidate(""Hello,world!"") == [""Hello"",""world!""]
    assert candidate(""Hello world,!"") == [""Hello"",""world,!""]
    assert candidate(""Hello,Hello,world !"") == [""Hello,Hello,world"",""!""]
    assert candidate(""abcdef"") == 3
    assert candidate(""aaabb"") == 2
    assert candidate(""aaaBb"") == 1
    assert candidate("""") == 0
"
acq_Arab,"

def is_palindrome(string: str) -> bool:
    """""" اختبار اذا السلسلة المعطيه هي بالندروم """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
","def check(candidate):
    assert candidate('') == ''
    assert candidate('x') == 'x'
    assert candidate('xyz') == 'xyzyx'
    assert candidate('xyx') == 'xyx'
    assert candidate('jerry') == 'jerryrrej'
"
aeb_Arab,"
def words_string(s):
    """"""
    وْتِتْعْطَى لِيكْ سِلاَلْ مْتَاعْ الكْلاَمْ مْفَارْقِينْ بِالكُومَا وِلاَّ بِالفُرْقَة. وْتِتْحَطْ سِلاَلْ مْتَاعْ الكْلاَمْ فِي الكْلاَمْ وِتْرَجَّعْ مَتْعَة مْتَاعْ الكْلاَمْ. مْثَالْ: words_string ((""سَمْتِي يُوحَنَّا"") == [""سَمْتِي يُوحَنَّا""، ""سَمْتِي""، ""إِسْمِي""، ""هُوَ
    """"""
","    if not s:
        return []

    s_list = []

    for letter in s:
        if letter == ',':
            s_list.append(' ')
        else:
            s_list.append(letter)

    s_list = """".join(s_list)
    return s_list.split()
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    assert candidate(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    assert candidate(""Hi, my name"") == [""Hi"", ""my"", ""name""]
    assert candidate(""One,, two, three, four, five, six,"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate("""") == []
    assert candidate(""ahmed     , gamal"") == [""ahmed"", ""gamal""]

"
afr_Latn,"

def remove_vowels(text):
    """"""
    remove_vowels is 'n funksie wat string neem en string sonder vokale teruggee.
    >>> remove_vowels('')
    ''
    >>> remove_vowels(""abcdef\nghijklm"")
    'bcdf\nghjklm'
    >>> remove_vowels('abcdef')
    'bcdf'
    >>> remove_vowels('aaaaa')
    ''
    >>> remove_vowels('aaBAA')
    'B'
    >>> remove_vowels('zbcd')
    'zbcd'
    """"""
","    return """".join([s for s in text if s.lower() not in [""a"", ""e"", ""i"", ""o"", ""u""]])
","def check(candidate):
    assert candidate('') == ''
    assert candidate(""abcdef\nghijklm"") == 'bcdf\nghjklm'
    assert candidate('fedcba') == 'fdcb'
    assert candidate('eeeee') == ''
    assert candidate('acBAA') == 'cB'
    assert candidate('EcBOO') == 'cB'
    assert candidate('ybcd') == 'ybcd'

"
ajp_Arab,"
def specialFilter(nums):
    """"""اكتب دالة بتأخذ صف من الارقام كمدخل وتعيد عدد العناصر في المصف اكبر من 10 والاعداد الأول والاخير من الرقم غير فردي (1, 3, 5, 7, 9). مثلا: specialFilter (([15, -73, 14, -15]) => 1 specialFilter (([33, -2, -3, 45, 21, 109]) => 2
    """"""
","    
    count = 0
    for num in nums:
        if num > 10:
            odd_digits = (1, 3, 5, 7, 9)
            number_as_string = str(num)
            if int(number_as_string[0]) in odd_digits and int(number_as_string[-1]) in odd_digits:
                count += 1
        
    return count 
","def check(candidate):

    # Check some simple cases
    assert candidate([5, -2, 1, -5]) == 0  
    assert candidate([15, -73, 14, -15]) == 1
    assert candidate([33, -2, -3, 45, 21, 109]) == 2
    assert candidate([43, -12, 93, 125, 121, 109]) == 4
    assert candidate([71, -2, -33, 75, 21, 19]) == 3


    # Check some edge cases that are easy to work out by hand.
    assert candidate([1]) == 0              
    assert candidate([]) == 0                   

"
aka_Latn,"
def solve(N):
    """"""Sɛ wode ɔfã bi a ɛyɛ ɔfã biara a ɛyɛ N ma a, fa ne nyinaa ka no wɔ ɔfã a ɛyɛ binary mu. Sɛnkyerɛnne no ma N = 1000, a ɔfã no ka bɛyɛ 1 a ɛsɛ sɛ ɛyɛ ""1"". Sɛ N = 150, a ɔfã no ka bɛyɛ 6 a ɛsɛ sɛ ɛyɛ ""110"". Sɛ N = 147, a ɔfã no ka yɛ 12 a ɛsɛ sɛ ɛyɛ ""1100"". Nkyereso: @N integer Constraints: 0 â‰¤ N â‰¤ 10000.
    """"""
","    return bin(sum(int(i) for i in str(N)))[2:]
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1000) == ""1"", ""Error""
    assert candidate(150) == ""110"", ""Error""
    assert candidate(147) == ""1100"", ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(333) == ""1001"", ""Error""
    assert candidate(963) == ""10010"", ""Error""

"
als_Latn,"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input është një varg i numrave të kufizuar nga hapësira nga 'zero' deri në 'nëntë'. Zgjedhjet e vlefshme janë 'zero', 'një', 'dy', 'tre', 'katër', 'pesë', 'gjashtë', 'gjashtë', 'gjashtë', 'gjashtë' dhe 'nëntë'. Kthehet vargu me numra të renditur nga më i vogël në më i madh
    >>> sort_numbers('three one five')
    'one three five'
    """"""
","    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))
","def check(candidate):
    assert candidate('') == ''
    assert candidate('three') == 'three'
    assert candidate('three five nine') == 'three five nine'
    assert candidate('five zero four seven nine eight') == 'zero four five seven eight nine'
    assert candidate('six five four three two one zero') == 'zero one two three four five six'
"
amh_Ethi,"
def count_nums(arr):
    """"""
    የቁጥር ድምር > 0 የሆነን የቁጥር ብዛት የሚወስድ እና የቁጥር ድምር ያለው የቁጥር ብዛት የሚመልስ የቁጥር ብዛት_ቁጥር ተግባር ይጻፉ: ለምሳሌ -123 የቁጥር ቁጥሮች -1, 2 እና 3 ምልክት የተደረገበት ነው
    >>> count_nums([]) == 0
    >>> count_nums([-1, 11, -11]) == 1
    >>> count_nums([1, 1, 2]) == 3
    """"""
","    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return len(list(filter(lambda x: x > 0, [digits_sum(i) for i in arr])))
","def check(candidate):

    # Check some simple cases
    assert candidate([]) == 0
    assert candidate([-1, -2, 0]) == 0
    assert candidate([1, 1, 2, -2, 3, 4, 5]) == 6
    assert candidate([1, 6, 9, -6, 0, 1, 5]) == 5
    assert candidate([1, 100, 98, -7, 1, -1]) == 4
    assert candidate([12, 23, 34, -45, -56, 0]) == 5
    assert candidate([-0, 1**0]) == 1
    assert candidate([1]) == 1

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
